Surname,Given name,DOB,height,ID
Bigboote,John,1920-08-26 08:30:12,"(5, 11)",0
Yaya,John,1920-08-26 08:30:12,"(5, 6)",1
Smallberries,John,1920-08-26 08:30:12,"(6, 4)",2
Parker,John,1920-08-26 08:30:12,"(5, 2)",3
Whorfin,John,1920-08-26 08:30:12,"(5, 10)",4
Valuk,John,1920-08-26 08:30:12,"(5, 8)",5
Gomez,John,1920-08-26 08:30:12,"(6, 1)",6
OConnor,John,1920-08-26 08:30:12,"(6, 0)",7
Emdall,John,1920-08-26 08:30:12,"(6, 1)",8
Gant,John,1920-08-26 08:30:12,"(5, 8)",9
Manyjars,John,1920-08-26 08:30:12,"(5, 9)",10
Milton,John,1920-08-26 08:30:12,"(5, 8)",11
Vtqx,John,1920-08-26 08:30:12,"(6, 5)",12
Jvns,John,1920-08-26 08:30:12,"(6, 2)",13
Xglq,John,1920-08-26 08:30:12,"(6, 0)",14
Tgzi,John,1920-08-26 08:30:12,"(6, 2)",15
Hwiw,John,1920-08-26 08:30:12,"(5, 10)",16
Qceg,John,1920-08-26 08:30:12,"(5, 11)",17
Lxfl,John,1920-08-26 08:30:12,"(6, 2)",18
Qmpa,John,1920-08-26 08:30:12,"(5, 6)",19
Iutq,John,1920-08-26 08:30:12,"(6, 1)",20
Xasf,John,1920-08-26 08:30:12,"(6, 0)",21
Uxyo,John,1920-08-26 08:30:12,"(5, 10)",22
Xrjz,John,1920-08-26 08:30:12,"(5, 3)",23
Pbyv,John,1920-08-26 08:30:12,"(5, 10)",24
Xppz,John,1920-08-26 08:30:12,"(5, 10)",25
Fblj,John,1920-08-26 08:30:12,"(5, 11)",26
Hpra,John,1920-08-26 08:30:12,"(6, 5)",27
Mtla,John,1920-08-26 08:30:12,"(5, 7)",28
Jgfh,John,1920-08-26 08:30:12,"(6, 1)",29
Fosj,John,1920-08-26 08:30:12,"(5, 7)",30
Ojjg,John,1920-08-26 08:30:12,"(5, 9)",31
Dvcn,John,1920-08-26 08:30:12,"(5, 7)",32
Cvkr,John,1920-08-26 08:30:12,"(5, 5)",33
Slby,John,1920-08-26 08:30:12,"(5, 11)",34
Ckjd,John,1920-08-26 08:30:12,"(5, 11)",35
Lehj,John,1920-08-26 08:30:12,"(6, 4)",36
Heop,John,1920-08-26 08:30:12,"(5, 9)",37
Iugg,John,1920-08-26 08:30:12,"(5, 5)",38
Kbjb,John,1920-08-26 08:30:12,"(5, 5)",39
Doil,John,1920-08-26 08:30:12,"(6, 0)",40
Fctb,John,1920-08-26 08:30:12,"(5, 4)",41
Pive,John,1920-08-26 08:30:12,"(5, 2)",42
Vqlv,John,1920-08-26 08:30:12,"(5, 9)",43
Bjcq,John,1920-08-26 08:30:12,"(5, 2)",44
Izpp,John,1920-08-26 08:30:12,"(5, 8)",45
Jadd,John,1920-08-26 08:30:12,"(5, 6)",46
Kole,John,1920-08-26 08:30:12,"(5, 2)",47
Dbml,John,1920-08-26 08:30:12,"(5, 1)",48
Ubaf,John,1920-08-26 08:30:12,"(6, 2)",49
Pzmw,John,1920-08-26 08:30:12,"(5, 3)",50
Spke,John,1920-08-26 08:30:12,"(5, 5)",51
Peuc,John,1920-08-26 08:30:12,"(5, 8)",52
Vhbg,John,1920-08-26 08:30:12,"(6, 3)",53
Vwwd,John,1920-08-26 08:30:12,"(6, 1)",54
Vrjc,John,1920-08-26 08:30:12,"(6, 4)",55
Icqx,John,1920-08-26 08:30:12,"(5, 5)",56
Txpn,John,1920-08-26 08:30:12,"(6, 2)",57
Rsll,John,1920-08-26 08:30:12,"(5, 2)",58
Osmn,John,1920-08-26 08:30:12,"(5, 2)",59
Jfuh,John,1920-08-26 08:30:12,"(5, 4)",60
Lzxr,John,1920-08-26 08:30:12,"(5, 11)",61
Psqu,John,1920-08-26 08:30:12,"(5, 8)",62
Lmwu,John,1920-08-26 08:30:12,"(6, 0)",63
Grlm,John,1920-08-26 08:30:12,"(5, 6)",64
Fgou,John,1920-08-26 08:30:12,"(6, 3)",65
Ovwp,John,1920-08-26 08:30:12,"(5, 6)",66
Qzlj,John,1920-08-26 08:30:12,"(5, 5)",67
Pryx,John,1920-08-26 08:30:12,"(6, 5)",68
Xrmw,John,1920-08-26 08:30:12,"(5, 1)",69
Qred,John,1920-08-26 08:30:12,"(6, 0)",70
Duen,John,1920-08-26 08:30:12,"(5, 4)",71
Hfir,John,1920-08-26 08:30:12,"(5, 3)",72
Cmhb,John,1920-08-26 08:30:12,"(6, 4)",73
Gmbn,John,1920-08-26 08:30:12,"(6, 1)",74
Cbny,John,1920-08-26 08:30:12,"(5, 7)",75
Qgjw,John,1920-08-26 08:30:12,"(6, 1)",76
Fbhi,John,1920-08-26 08:30:12,"(5, 10)",77
Ucau,John,1920-08-26 08:30:12,"(6, 1)",78
Mrvz,John,1920-08-26 08:30:12,"(5, 9)",79
Wvre,John,1920-08-26 08:30:12,"(5, 2)",80
Wtut,John,1920-08-26 08:30:12,"(6, 2)",81
Fybd,John,1920-08-26 08:30:12,"(5, 11)",82
Igwb,John,1920-08-26 08:30:12,"(5, 7)",83
Iegx,John,1920-08-26 08:30:12,"(5, 4)",84
Xsmy,John,1920-08-26 08:30:12,"(5, 6)",85
Ufft,John,1920-08-26 08:30:12,"(6, 3)",86
Syff,John,1920-08-26 08:30:12,"(5, 6)",87
Eqvm,John,1920-08-26 08:30:12,"(6, 4)",88
Uano,John,1920-08-26 08:30:12,"(5, 2)",89
Mxyw,John,1920-08-26 08:30:12,"(5, 4)",90
Ujfy,John,1920-08-26 08:30:12,"(5, 3)",91
Stqn,John,1920-08-26 08:30:12,"(6, 2)",92
Elgq,John,1920-08-26 08:30:12,"(5, 2)",93
Wplm,John,1920-08-26 08:30:12,"(5, 10)",94
Sqjz,John,1920-08-26 08:30:12,"(6, 5)",95
Pahs,John,1920-08-26 08:30:12,"(5, 6)",96
Voyv,John,1920-08-26 08:30:12,"(5, 4)",97
Mrly,John,1920-08-26 08:30:12,"(5, 2)",98
Xcab,John,1920-08-26 08:30:12,"(6, 5)",99
